Sl_No,Full_Info,Transimission_Type,Ownership,Fuel_Used,brand_name,km_driven,selling_price,Year_of_Manuacture,Place_of_Origin,Age
0,"""2015 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",46245,432499,2015,"""New_Delhi""",7
1,"""2012 Maruti Swift""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Swift""",95779,383499,2012,"""New_Delhi""",10
2,"""2012 Maruti Swift""","""Manual""","""3rd Owner""","""Petrol""","""Maruti-Swift""",12761,371599,2012,"""New_Delhi""",10
3,"""2018 Maruti Alto 800""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Alto""",41575,323699,2018,"""New_Delhi""",4
4,"""2015 Maruti Swift""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",89851,392899,2015,"""New_Delhi""",7
5,"""2017 Tata Tiago""","""Manual""","""1st Owner""","""Petrol""","""Tata-Tiago""",18534,456299,2017,"""New_Delhi""",5
6,"""2014 Honda Amaze""","""Automatic""","""1st Owner""","""Petrol""","""Honda-Amaze""",33228,464499,2014,"""New_Delhi""",8
7,"""2017 Hyundai Grand i10""","""Manual""","""1st Owner""","""Petrol""","""Hyundai-Grand""",35853,486499,2017,"""New_Delhi""",5
8,"""2016 Maruti Swift Dzire""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Swift""",91792,505199,2016,"""New_Delhi""",6
9,"""2016 Maruti Vitara Brezza""","""Manual""","""1st Owner""","""Diesel""","""Maruti-Vitara""",28998,646599,2016,"""New_Delhi""",6
10,"""2016 Ford Ecosport""","""Automatic""","""1st Owner""","""Petrol""","""Ford-Ecosport""",41253,684299,2016,"""New_Delhi""",6
11,"""2018 Mahindra Scorpio""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-Scorpio""",16042,1183099,2018,"""New_Delhi""",4
12,"""2013 Hyundai New Elantra""","""Manual""","""2nd Owner""","""Diesel""","""Hyundai-New""",48186,630099,2013,"""New_Delhi""",9
13,"""2017 Hyundai Creta""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-Creta""",78203,855999,2017,"""New_Delhi""",5
14,"""2014 Nissan Terrano""","""Manual""","""1st Owner""","""Diesel""","""Nissan-Terrano""",89716,454499,2014,"""New_Delhi""",8
15,"""2021 Toyota URBAN CRUISER""",,"""1st Owner""","""Petrol""","""Toyota-URBAN""",11828,925899,2021,"""New_Delhi""",1
16,"""2014 Nissan Terrano""","""Manual""","""1st Owner""","""Diesel""","""Nissan-Terrano""",51904,482099,2014,"""New_Delhi""",8
17,"""2014 Toyota Innova""","""Manual""","""1st Owner""","""Diesel""","""Toyota-Innova""",82295,964299,2014,"""New_Delhi""",8
18,"""2014 Mahindra Scorpio""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-Scorpio""",64347,650599,2014,"""New_Delhi""",8
19,"""2015 Hyundai i20 Active""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-i20""",58072,537099,2015,"""New_Delhi""",7
20,"""2015 Hyundai i20 Active""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-i20""",83338,509699,2015,"""New_Delhi""",7
21,"""2021 Hyundai VENUE""","""Manual""","""1st Owner""","""Diesel""","""Hyundai-VENUE""",2213,1213499,2021,"""New_Delhi""",1
22,"""2021 Maruti Ciaz""","""Manual""","""1st Owner""","""Petrol""","""Maruti-Ciaz""",13554,1169399,2021,"""New_Delhi""",1
23,"""2016 Volkswagen Ameo""","""Manual""","""1st Owner""","""Petrol""","""Volkswagen-Ameo""",29809,398799,2016,"""New_Delhi""",6
24,"""2013 Mercedes Benz E Class""","""Automatic""","""2nd Owner""","""Diesel""","""Mercedes-Benz""",42881,1455599,2013,"""New_Delhi""",9
25,"""2018 Jeep Compass""","""Manual""","""1st Owner""","""Diesel""","""Jeep-Compass""",71745,1270999,2018,"""New_Delhi""",4
26,"""2017 Mahindra Scorpio""","""Manual""","""2nd Owner""","""Diesel""","""Mahindra-Scorpio""",45022,907899,2017,"""New_Delhi""",5
27,"""2017 Mahindra TUV300""","""Manual""","""1st Owner""","""Diesel""","""Mahindra-TUV300""",27650,651699,2017,"""New_Delhi""",5
28,"""2010 Hyundai i20""","""Manual""","""2nd Owner""","""Petrol""","""Hyundai-i20""",42422,270399,2010,"""New_Delhi""",12
29,"""2015 Toyota Fortuner""","""Automatic""","""2nd Owner""","""Diesel""","""Toyota-Fortuner""",90086,1577799,2015,"""New_Delhi""",7
30,"""2020 MG HECTOR PLUS""","""Manual""","""1st Owner""","""Petrol""","""MG-HECTOR""",2775,1837899,2020,"""New_Delhi""",2
